City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sapu,CN,36.17,107.71,65.05,51,94,1.36,overcast clouds
1,Hilo,US,19.73,-155.09,84.2,62,1,6.93,clear sky
2,Fairbanks,US,64.84,-147.72,59.0,71,90,5.82,overcast clouds
3,Huambo,AO,-12.78,15.74,59.05,33,0,1.7,clear sky
4,Inuvik,CA,68.35,-133.72,46.4,75,90,10.29,light intensity shower rain
5,Touros,BR,-5.2,-35.46,82.4,61,20,14.99,few clouds
6,Pevek,RU,69.7,170.31,41.4,84,59,7.76,broken clouds
7,Butaritari,KI,3.07,172.79,83.05,73,35,8.21,scattered clouds
8,East London,ZA,-33.02,27.91,65.82,77,84,4.47,broken clouds
9,Maridi,SS,4.92,29.47,64.72,95,94,3.69,overcast clouds
10,Marica,BR,-22.92,-42.82,77.0,78,4,12.75,clear sky
11,Vaini,TO,-21.2,-175.2,69.8,83,75,6.93,broken clouds
12,Upernavik,GL,72.79,-56.15,37.71,81,100,8.48,overcast clouds
13,Sile,TR,41.18,29.61,73.99,67,0,1.01,clear sky
14,Rikitea,PF,-23.12,-134.97,73.15,84,6,12.53,clear sky
15,Kaeo,NZ,-35.1,173.78,49.15,85,19,7.31,few clouds
16,Bosaso,SO,11.28,49.18,90.37,54,46,4.29,scattered clouds
17,Ancud,CL,-41.87,-73.82,54.0,78,100,3.0,overcast clouds
18,Cape Town,ZA,-33.93,18.42,61.0,87,0,1.12,clear sky
19,Cherskiy,RU,68.75,161.3,39.43,77,26,10.76,scattered clouds
20,Punta Arenas,CL,-53.15,-70.92,44.6,81,100,8.05,overcast clouds
21,Kapaa,US,22.08,-159.32,82.4,74,75,13.87,broken clouds
22,Kodiak,US,57.79,-152.41,57.2,62,1,11.41,clear sky
23,Georgetown,MY,5.41,100.34,80.01,94,20,4.52,few clouds
24,Port Elizabeth,ZA,-33.92,25.57,57.2,100,20,1.12,fog
25,Barrow,US,71.29,-156.79,37.4,86,90,16.11,mist
26,Khatanga,RU,71.97,102.5,41.31,76,0,8.12,clear sky
27,Tasiilaq,GL,65.61,-37.64,37.4,93,70,5.82,broken clouds
28,Albany,US,42.6,-73.97,79.0,53,19,12.17,few clouds
29,Ushuaia,AR,-54.8,-68.3,46.4,61,75,12.75,broken clouds
30,Otofuke,JP,42.99,143.2,68.61,94,49,1.99,scattered clouds
31,Naze,JP,28.37,129.48,77.0,94,20,2.24,few clouds
32,Sibolga,ID,1.74,98.78,76.08,85,100,2.68,overcast clouds
33,Sao Felix Do Xingu,BR,-6.64,-51.99,101.34,13,0,4.25,clear sky
34,Hobart,AU,-42.88,147.33,59.0,58,100,5.82,overcast clouds
35,Ahipara,NZ,-35.17,173.17,50.04,76,0,5.64,clear sky
36,Ilulissat,GL,69.22,-51.1,39.2,80,75,9.17,shower rain
37,New Norfolk,AU,-42.78,147.06,59.0,58,100,5.82,overcast clouds
38,Hermanus,ZA,-34.42,19.23,60.01,81,0,1.99,clear sky
39,Mount Isa,AU,-20.73,139.5,71.6,35,0,8.05,clear sky
40,Manggar,ID,-2.88,108.27,81.14,80,100,9.69,overcast clouds
41,Barra Do Corda,BR,-5.5,-45.25,99.57,20,17,5.3,few clouds
42,Qidong,CN,31.81,121.66,82.99,69,0,4.27,clear sky
43,Atuona,PF,-9.8,-139.03,78.69,75,94,21.97,overcast clouds
44,Longyearbyen,SJ,78.22,15.64,37.4,87,40,8.05,scattered clouds
45,Tiksi,RU,71.69,128.87,41.67,79,100,10.45,overcast clouds
46,Soderhamn,SE,61.3,17.06,48.0,92,100,10.51,overcast clouds
47,Kaitangata,NZ,-46.28,169.85,43.0,90,1,1.99,clear sky
48,Bredasdorp,ZA,-34.53,20.04,59.0,93,0,10.29,clear sky
49,Manaus,BR,-3.1,-60.02,96.8,47,20,6.93,shower rain
50,Takoradi,GH,4.88,-1.76,75.49,89,29,9.08,scattered clouds
51,Bage,BR,-31.33,-54.11,60.8,59,75,18.34,broken clouds
52,Fortuna,US,40.6,-124.16,75.2,57,20,11.41,few clouds
53,Ahmadpur Sial,PK,30.68,71.75,89.6,75,0,7.25,smoke
54,Oriximina,BR,-1.77,-55.87,95.92,34,100,7.67,overcast clouds
55,Roald,NO,62.58,6.13,57.2,76,75,20.8,shower rain
56,Mataura,NZ,-46.19,168.86,45.0,72,8,11.01,clear sky
57,Busselton,AU,-33.65,115.33,48.0,79,60,10.4,broken clouds
58,Carnarvon,AU,-24.87,113.63,62.6,100,40,11.41,scattered clouds
59,Provideniya,RU,64.38,-173.3,44.6,65,100,13.42,overcast clouds
60,Otjiwarongo,NA,-20.46,16.65,69.69,24,0,9.78,clear sky
61,Baiyin,CN,36.56,104.21,68.0,62,1,2.24,clear sky
62,Broome,US,42.25,-75.83,78.01,50,1,14.99,clear sky
63,Souillac,MU,-20.52,57.52,71.6,94,40,10.29,shower rain
64,Mahebourg,MU,-20.41,57.7,71.6,94,40,10.29,shower rain
65,Ribeira Grande,PT,38.52,-28.7,71.6,68,40,16.11,scattered clouds
66,Coquimbo,CL,-29.95,-71.34,59.0,67,4,12.75,clear sky
67,Port Alfred,ZA,-33.59,26.89,61.66,88,3,8.16,clear sky
68,Chokurdakh,RU,70.63,147.92,32.34,97,99,6.2,overcast clouds
69,Cabo San Lucas,MX,22.89,-109.91,86.0,70,75,8.05,broken clouds
70,Faanui,PF,-16.48,-151.75,77.16,82,0,16.11,moderate rain
71,Pestera,RO,44.18,28.13,73.4,94,0,5.82,clear sky
72,Esperance,AU,-33.87,121.9,44.6,100,40,9.17,scattered clouds
73,Bluff,NZ,-46.6,168.33,45.0,72,14,11.01,few clouds
74,Caravelas,BR,-17.71,-39.25,74.73,77,13,8.46,few clouds
75,Yellowknife,CA,62.46,-114.35,53.01,43,40,12.75,scattered clouds
76,Zhangye,CN,38.93,100.45,70.29,28,99,5.5,overcast clouds
77,Ossora,RU,59.24,163.07,49.98,93,100,19.1,moderate rain
78,Castro,BR,-24.79,-50.01,76.17,50,55,7.45,broken clouds
79,Hienghene,NC,-20.68,164.93,69.71,82,100,11.43,light rain
80,Victoria,HK,22.29,114.16,84.0,86,99,1.99,moderate rain
81,Jamestown,US,42.1,-79.24,66.0,88,75,13.87,broken clouds
82,Chornobayivka,UA,46.69,32.55,69.8,68,0,2.24,clear sky
83,Tuatapere,NZ,-46.13,167.68,45.0,72,15,11.01,few clouds
84,Puerto Ayora,EC,-0.74,-90.35,77.0,61,40,12.75,scattered clouds
85,Anadyr,RU,64.75,177.48,35.6,67,0,4.47,clear sky
86,Bethel,US,41.37,-73.41,77.0,53,1,13.87,clear sky
87,Lubango,AO,-14.92,13.49,57.15,85,4,2.04,clear sky
88,Narasannapeta,IN,18.42,84.05,81.23,87,66,5.5,broken clouds
89,Lebu,CL,-37.62,-73.65,53.74,72,4,9.1,clear sky
90,Bengkulu,ID,-3.8,102.27,75.49,89,1,6.91,clear sky
91,Primo Tapia,MX,32.22,-116.92,100.0,43,1,5.82,clear sky
92,Saint George,US,37.1,-113.58,97.0,9,1,4.7,clear sky
93,Sumbe,AO,-11.21,13.84,72.9,80,0,5.44,clear sky
94,Pitea,SE,65.32,21.48,51.8,87,88,4.7,overcast clouds
95,Tuktoyaktuk,CA,69.45,-133.04,46.4,87,90,12.75,light rain
96,Alexandria,EG,31.22,29.96,82.4,69,40,6.93,scattered clouds
97,Kahului,US,20.89,-156.47,86.0,51,20,12.75,few clouds
98,Stepnoye,RU,51.4,46.87,68.0,12,90,5.99,overcast clouds
99,Ensenada,MX,31.87,-116.62,77.0,82,3,8.99,clear sky
100,Grindavik,IS,63.84,-22.43,46.4,87,75,8.05,broken clouds
101,Leningradskiy,RU,69.38,178.42,39.76,78,0,11.14,clear sky
102,Gat,IL,31.61,34.76,82.99,79,0,1.01,clear sky
103,Constitucion,CL,-35.33,-72.42,54.68,73,100,10.38,overcast clouds
104,Luoyang,CN,34.68,112.45,70.02,72,0,4.74,light rain
105,Dwarka,IN,22.24,68.97,82.78,83,61,10.83,broken clouds
106,Samarai,PG,-10.62,150.67,77.88,87,85,20.29,overcast clouds
107,Thompson,CA,55.74,-97.86,42.8,70,90,17.22,light intensity shower rain
108,Leek,NL,53.16,6.38,61.0,87,82,4.7,broken clouds
109,Srednekolymsk,RU,67.45,153.68,37.67,78,0,8.05,clear sky
110,Avarua,CK,-21.21,-159.78,75.2,53,7,11.41,clear sky
111,Marpingen,DE,49.45,7.06,57.99,71,0,2.46,clear sky
112,Tocopilla,CL,-22.09,-70.2,65.01,52,22,8.93,few clouds
113,Vila Franca Do Campo,PT,37.72,-25.43,71.6,78,20,4.7,few clouds
