City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2020-09-04 04:57:26,-33.02,27.91,59.0,51,2,6.93
1,Qaanaaq,GL,2020-09-04 04:57:26,77.48,-69.36,20.64,84,1,3.62
2,Miri,MY,2020-09-04 04:57:27,4.41,114.01,86.0,74,40,8.05
3,Hualmay,PE,2020-09-04 04:57:27,-11.1,-77.61,58.26,86,7,6.67
4,Molokovo,RU,2020-09-04 04:57:27,58.17,36.76,55.49,78,93,9.57
5,Port Alfred,ZA,2020-09-04 04:57:27,-33.59,26.89,61.09,52,0,12.21
6,Kavieng,PG,2020-09-04 04:57:28,-2.57,150.8,85.01,68,99,3.51
7,Ushuaia,AR,2020-09-04 04:54:30,-54.8,-68.3,37.4,93,90,3.36
8,Takoradi,GH,2020-09-04 04:57:28,4.88,-1.76,75.51,87,94,7.76
9,Caravelas,BR,2020-09-04 04:57:29,-17.71,-39.25,68.58,92,0,3.76
10,Busselton,AU,2020-09-04 04:57:29,-33.65,115.33,64.99,79,100,3.0
11,La Ronge,CA,2020-09-04 04:56:02,55.1,-105.28,42.8,87,75,3.36
12,Albany,US,2020-09-04 04:57:29,42.6,-73.97,68.0,77,28,2.35
13,Chokurdakh,RU,2020-09-04 04:52:39,70.63,147.92,47.59,53,27,10.69
14,Vanimo,PG,2020-09-04 04:57:30,-2.67,141.3,86.31,67,90,8.25
15,Sovetskoye,RU,2020-09-04 04:57:31,52.29,85.41,51.84,89,100,10.47
16,Hofn,IS,2020-09-04 04:57:31,64.25,-15.21,47.5,69,100,9.22
17,Atuona,PF,2020-09-04 04:57:31,-9.8,-139.03,78.15,75,14,20.18
18,Santa Lucia,ES,2020-09-04 04:57:32,27.91,-15.54,71.6,78,75,14.99
19,Bengkulu,ID,2020-09-04 04:57:32,-3.8,102.27,82.94,78,50,8.93
20,Mahebourg,MU,2020-09-04 04:55:04,-20.41,57.7,69.8,73,75,14.99
21,Puerto Ayora,EC,2020-09-04 04:54:18,-0.74,-90.35,66.0,92,90,7.0
